comment,source,label
As a woman you shouldn't complain about cleaning up your house. as a man you should always take the trash out...,kaggle,0
boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,kaggle,1
Dawg!!!! You ever fuck a bitch and she start to cry? You be confused as shit,kaggle,1
The shit you hear about me might be true or it might be faker than the bitch who told it to ya,kaggle,1
The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!,kaggle,1
"I can not just sit up and HATE on another bitch .. I got too much shit going on!""",kaggle,1
you might not get ya bitch back thats that,kaggle,1
":hobbies include: fighting Mariam""  bitch",kaggle,1
Keeks is a bitch she curves everyone lol I walked into a conversation like this. Smh,kaggle,1
Murda Gang bitch its Gang Land,kaggle,1
So hoes that smoke are losers ? yea ... go on IG,kaggle,1
bad bitches is the only thing that i like,kaggle,1
bitch get up off me,kaggle,1
bitch nigga miss me with it,kaggle,1
bitch plz whatever,kaggle,1
bitch who do you love,kaggle,1
bitches get cut off everyday B,kaggle,1
black bottle a bad bitch,kaggle,1
broke bitch cant tell me nothing,kaggle,1
cancel that bitch like Nino,kaggle,1
cant you see these hoes wont change,kaggle,1
fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up,kaggle,1
got ya bitch tip toeing on my hardwood floors,kaggle,1
her pussy lips like Heaven doors,kaggle,1
hoe what its hitting for,kaggle,1
i met that pussy on Ocean Dr . i gave that pussy a pill,kaggle,1
i need a trippy bitch who fuck on Hennessy,kaggle,1
i spend my money how i want bitch its my business,kaggle,1
i txt my old bitch my new bitch pussy wetter,kaggle,1
i'd say im back to the old me but my old bitches would get excited,kaggle,1
if you aint bout that Murder Game pussy nigga shut up,kaggle,1
if you're toes ain't done you pussy stinks,kaggle,1
im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that,kaggle,1
is that ya bitch,kaggle,1
it aint nothing to cut a bitch off,kaggle,1
jus meet son now he ya mane ass bitches #Shots,kaggle,1
lames crying over hoes thats tears of a clown,kaggle,1
like Snoop said in 94 we dont love these hoes,kaggle,1
momma said no pussy cats inside my doghouse,kaggle,0
most hated but the hoes favorite #2MW #SevenOne #,kaggle,1
"nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick""",kaggle,1
pimps up pimps up hoes down Future voice,kaggle,1
post a picture of that pussy get 200 likes,kaggle,1
pussy is a powerful drug #HappyHumpDay,kaggle,1
quick piece of pussy call it a drive by,kaggle,1
running round here like some brand new pussy thats bout to get fucked,kaggle,1
these bitches even worst they'll send them guys for you,kaggle,1
these hoes like niggas that spend money not talk bout it,kaggle,1
we dont trust these niggas all these bitches,kaggle,1
yall niggas b cuffing hoes cause yall aint never have bitches,kaggle,1
"you dodge a bullet ""All da bitches I cut off pregnant or bound to be ....thank God",kaggle,1
young Pill Chamberlain these bitches love my music,kaggle,1
"Teanna Trump probably cleaner than most of these twitter hoes but.........""",kaggle,1
"Gay niggas couldn't wait to act like bitches tonight""",kaggle,1
"""& he's gone always be a hoe""",kaggle,1
"""...Son of a bitch took my Tic Tacs.""  I like this movie.",kaggle,1
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",kaggle,1
"I'm a fucking fag they said""",kaggle,1
Females think dating a pussy is cute now? how does doing this stuff make him a pussy?,kaggle,1
-SimplyAddictedToGuys woof woof hot scally lad,kaggle,0
"Have ya ever asked your bitch for other bitches - kanye voice"" Yes",kaggle,1
How u gone bring ur side bitch to a game where You know Ya gf friends at ?! I SWEAR!!!!!,kaggle,1
woof woof and hot soles,kaggle,0
"Lemmie eat a Oreo do these dishes."" One oreo? Lol",kaggle,0
"Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",kaggle,1
"Why the eggplant emoji doe?""y he say she looked like scream lmao",kaggle,0
