0,source,label,type
Bale&#39;s Last Game 💔,youtube,,international
Rashford who needs ronaldo,youtube,,international
Smooth goal by Rashford,youtube,,international
🇬🇧 😅,youtube,,international
England siptted on Wales than on USA..,youtube,,international
I felt bad for Bale 😢,youtube,,international
I love England 😊😊,youtube,,international
Komsijski derbi Ursule Santarovac bolja utakmica bila😅,youtube,,international
"England vs mini UK,😂🎉",youtube,,international
"@<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m14s"">1:14</a> - Nice try, Harry Maguire, but Pickford said - &quot;not tonight, Harry, not tonight&quot;.",youtube,,international
Porque eles não grita gol😢,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m30s"">0:30</a>",youtube,,international
Um when the commentator said a wonderful young talent to rashford when he scored the free kick <br>:edit :me he’s 26 years old,youtube,,international
No one talking about that this is gareth bales last match,youtube,,international
still blows my mind that southgate didn&#39;t start rashford against france. unforgivable.,youtube,,international
"bad luck for England, they deserved the win against France",youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m30s"">0:30</a> Marcus Rashford Goal<br><a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m50s"">0:50</a> Phil Foden Goal<br><a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m27s"">1:27</a> 2nd Marcus Rashford Goal",youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m59s"">0:59</a> Bellingham celebrated too early",youtube,,international
Cool 😍,youtube,,international
Can i have name of the commentary?,youtube,,international
rashford is the best lw in the world,youtube,,international
How rashford still call &quot;wonderful young talent?&quot; He already enter his prime age,youtube,,international
Rashnaldo,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m20s"">1:20</a> It would be a own goal if pickford don&#39;t save the header of MAGUIRE, the GOAT😂",youtube,,international
В этой группе Иран играл против Британской империи,youtube,,international
Yay,youtube,,international
Why clouldnt rashford do that’s against france 😢,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m28s"">0:28</a>",youtube,,international
England 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿  ⚽️ 👏,youtube,,international
nomer punggung rasford gak pakem,youtube,,international
Rashford 🚀🔥,youtube,,international
harry maguire almost makng that own goal,youtube,,international
Kane might have missed the penalty but he was the best playmaker,youtube,,international
Marcus❤,youtube,,international
The hole team of England is trash and I hate kane,youtube,,international
🇬🇧🇬🇧🇬🇧🇬🇧,youtube,,international
NOO,youtube,,international
0🏴󠁧󠁢󠁷󠁬󠁳󠁿x🏴󠁧󠁢󠁥󠁮󠁧󠁿3,youtube,,international
😊😂 I love England,youtube,,international
The connection between rashy and foden and khane World class 😮,youtube,,international
It took me four months to realize Rashford’s second goal was with his left foot. <br>Absolute phenomenon,youtube,,international
Rashford is in another level 🔥 🔥,youtube,,international
Rashford 👉😃🔥🐐,youtube,,international
Harry kane,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m52s"">0:52</a> foden trying to do siuuu celebration 😂",youtube,,international
And then Southgate decided to drop one of the most in-form players in the world for Sterling. Cost us a World Cup Final spot.,youtube,,international
Fodon,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m29s"">0:29</a> Rashford free kick goal<br><a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m49s"">0:49</a> FODEN first goal in World Cup<br><a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m27s"">1:27</a> Rashford solo run🔥🔥",youtube,,international
England definitely used 1 percent of their effort against USA,youtube,,international
I was inspired by this great matchup and played it myself in FIFA on Maximum difficulty. I got a great result and happily uploaded a video of the full match on my channel. There are so many talented young players in two countries 😀😀😀,youtube,,international
"FIFA World Cup 2022 Qatar 🇶🇦<br>Group B:<br>Wales 0-3 England <br>Marcus Rashford <a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m28s"">0:28</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Phil Foden <a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m43s"">0:43</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Marcus Rashford <a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m23s"">1:23</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿",youtube,,international
"0-1 Marcus Rashford (50 min)
<br>0-2 Phil Foden (51 min)
<br>0-3 Marcus Rashford (68 min)",youtube,,international
First British match in fifa world cup history 🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,youtube,,international
wales 0-3-ra kikapott angliától,youtube,,international
england vs  wales win,youtube,,international
The Kingdom isn&#39;t United when it comes to football 🤷🏻‍♀️,youtube,,international
Jude f#%^*ng Bellingham…. What a player!!!❤,youtube,,international
Rashford daddy,youtube,,international
Yes rashford  goaded for England  vs Wales,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=1m17s"">1:17</a>",youtube,,international
Rashford the GOAT!!!,youtube,,international
"I keep watching this again and again  and tell Southgate,he gave the cup to Messi by simply benching Rashford...",youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=00m27s"">00:27</a>",youtube,,international
rashford is the goat but its messi,youtube,,international
And yet Southgate keeps Rashford on the bench vs France :/,youtube,,international
The battle of 2 UK states,youtube,,international
Full mach England vs Wales,youtube,,international
Imagine the free kick against France:p,youtube,,international
The commentator needs to be locked in a soundproof room and the key thrown away.,youtube,,international
gg 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m30s"">0:30</a> i love rashford",youtube,,international
UK vs UK,youtube,,international
Rashford&#39;s Free Kick 💥🎗️,youtube,,international
Welcome to Harry Potter - Quidditch World Cup,youtube,,international
Last season Marcus rashord wasn’t the best now he is incredible same with grealish,youtube,,international
Congratulations to England from Russia.,youtube,,international
"<a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=00m18s"">00:18</a> was some of the most beautiful teamwork play in the World Cup - it&#39;s weird how England shows random moments of such brilliance",youtube,,international
All the bast england,youtube,,international
I hope England wins tomorrow against France because that will mean Croatia is less petrified x🤦😁. Im a Croatian die hard fan even though I&#39;m from S.A .,youtube,,international
MARCUS RASHFORD MBE MVP♥️,youtube,,international
"Jude already know Phil gonna score <a href=""https://www.youtube.com/watch?v=EDUwOfAni38&amp;t=0m46s"">0:46</a>",youtube,,international
👍👍👍⚽️☕,youtube,,international
England Trrres 😁,youtube,,international
"Where&#39;s the pass to Rashford, goal #3, what an ignorant way of making highlights",youtube,,international
Rashford 🙌🙌,youtube,,international
Congratulations to England.,youtube,,international
30 июн.<br>2022,youtube,,international
🌹🏴󠁧󠁢󠁥󠁮󠁧󠁿❤️🇧🇩🌹,youtube,,international
"King Charles (England) Vs. Prince William (Wales)<a href=""about:invalid#zCSafez""></a>",youtube,,international
"Wales players showed no heart, no desire. They didn’t seem particularly bothered. Bale may as well have brought his golf equipment he was utterly useless",youtube,,international
Gg germany,youtube,,international
Why they don&#39;t unite?? 😕😲 🇬🇧  ?,youtube,,international
"We are going to lose today 3-2. How I know? I had a dream and I don&#39;t really dream much, and have never in my life dreamt about football. <br><br>Let&#39;s see....",youtube,,international
Man utd &amp; man city 3 - wales 0,youtube,,international
What a great game,youtube,,international
where is haters now?!,youtube,,international
Marcus of Man Utd,youtube,,international
❤💕💕💕💕💕💕💕💕💕💕💕💕,youtube,,international
AMAZING,youtube,,international
Now I see why rashford was benching the GOAT at man utd.,youtube,,international

Why still using pickford small hand,youtube,,international
